Address,Company,Title,Career,Skill,URL,InfoDetails,Tag,D_day
강서구,㈜비전테크,"기술지원 (역설계, 3D모델링, 3D스캐너, 3차원측정)",신입·경력 (3년이상),"3D CAD, 2D CAD",https://www.jobkorea.co.kr/Recruit/GI_Read/44730428?rPageCode=SL&logpath=21&sn=6,,디자인 직무채용관IT 개발자 전문 채용관 DBA 모델링 머신러닝엔지니어 그래픽디자이너 기계엔지니어 캐드원 설계엔지니어 3D설계 3D디자인 3D모델링 3D스캐너 3차원측정 솔리드웍스 역설계 DesignX 기계·기계설비,시작일 2024.05.21(화) 마감일 2024.05.31(금)
금천구,㈜바올테크,각 분야별 신입경력 모집 (영업부/기술지원부/연구개발부),신입·경력,"성실성, 윤리의식, 적응성",https://www.jobkorea.co.kr/Recruit/GI_Read/44693329?rPageCode=SL&logpath=21&sn=6,,G밸리 우수기업 채용박람회강소기업 채용관IT 개발자 전문 채용관 소프트웨어개발자 시스템분석 시스템설계 정보보안 아키텍처 클라이언트 머신러닝엔지니어 모델링 딥러닝 IT·기술영업 기술영업 기술지원 네트워크영업 솔루션영업,시작일 2024.05.16(목) 마감일 2024.06.15(토)
금천구,㈜에듀클라우드,2024 상반기 공개채용(마케팅/영업/CS/개발/사업기획/영어강사),신입·경력,"계획성, 협동심, 꼼꼼함, 적응성",https://www.jobkorea.co.kr/Recruit/GI_Read/44713543?rPageCode=SL&logpath=21&sn=6,,교육 직무채용관IT 개발자 전문 채용관 웹기획 서비스기획 스토리보드 앱기획 콘텐츠기획 UI·UX기획 PL·PM·PO PM 사무담당자 문서관리 문서작성 사이트관리 퍼포먼스마케터 카페·블로그관리 키워드광고 SNS마케팅,시작일 2024.05.20(월) 마감일 2024.06.18(화)
종로구,㈜케이티,AI 혁신 우수인재 채용 [DATA분야],신입·경력 (3년이상) 직무별상이,"C++, JAVA, Kafka, Python, R, Spark, SQL, Hive, DL",https://www.jobkorea.co.kr/Recruit/GI_Read/44700232?rPageCode=SL&logpath=21&sn=6,,가족친화인증기업 채용관IT 개발자 전문 채용관취업맞춤특기병 전문채용관 경영·비즈니스기획 데이터분석 연구기획 시스템엔지니어 서버구축 시스템분석 시스템설계 시스템운영 서버관리 네트워크엔지니어 네트워크관리 DBA 모델링,시작일 2024.05.17(금) 마감일 2024.06.02(일)
종로구,㈜케이티,AI 혁신 우수인재 채용 [AI분야],경력 (3년이상) 직무별상이,"AWS, C, C++, JAVA, Python",https://www.jobkorea.co.kr/Recruit/GI_Read/44700465?rPageCode=SL&logpath=21&sn=6,,가족친화인증기업 채용관IT 개발자 전문 채용관취업맞춤특기병 전문채용관 경영·비즈니스기획 사업기획 데이터분석 신사업기획 연구기획 전략기획 웹기획 앱기획 백엔드개발자 클라이언트 서버관리 HTTP 프론트엔드개발자 시스템엔지니어,시작일 2024.05.17(금) 마감일 2024.06.02(일)
종로구,㈜케이티,AI 혁신 우수인재 채용 [IT분야],신입·경력 (3년이상) 직무별상이,"JAVA, JSP, MSA, NoSQL, Spring, SQL, Spring Framework, Cloud, DBMS, Restful API",https://www.jobkorea.co.kr/Recruit/GI_Read/44700202?rPageCode=SL&logpath=21&sn=6,,가족친화인증기업 채용관IT 개발자 전문 채용관 경영·비즈니스기획 데이터분석 전략기획 신사업기획 사업기획 경영기획 연구기획 웹기획 서비스기획 스토리보드 제안·컨설팅 앱기획 콘텐츠기획 UI·UX기획 마케팅기획 시장조사,시작일 2024.05.17(금) 마감일 2024.06.02(일)
서초구,기아㈜,2024 기아 5월 경력 채용 생산/품질 부문,경력,"Python, Pytorch, R, CAD, Excel, PowerPoint, CAE, CAM, DBMS, Microsoft Office",https://www.jobkorea.co.kr/Recruit/GI_Read/44653887?rPageCode=SL&logpath=21&sn=6,,가족친화인증기업 채용관건강친화 인증기업 온라인 채용관IT 개발자 전문 채용관 시스템엔지니어 네트워크관리 서버구축 시스템분석 시스템설계 시스템운영 펌웨어 서버관리 네트워크엔지니어 소프트웨어개발자 하드웨어개발자,시작일 2024.05.16(목) 마감일 2024.05.29(수)
서초구,㈜아이센스,㈜아이센스 상반기 신입 및 경력 대규모 채용,신입·경력,,https://www.jobkorea.co.kr/Recruit/GI_Read/44609085?rPageCode=SL&logpath=21&sn=6,,히든챔피언 채용관제약 직무채용관IT 개발자 전문 채용관 PL·PM·PO PM PL 백엔드개발자 서버관리 클라이언트 프론트엔드개발자 반응형웹 인터페이스 GUI 시스템엔지니어 서버구축 네트워크관리 시스템분석 시스템설계,시작일 2024.05.10(금) 마감일 2024.06.09(일)
금천구,스마트라이프텍㈜,[스마트라이프텍㈜] 2024년 상반기 각 부문별 신입 / 경력직 채용,신입·경력 (1년이상) 부서별 경력년수 : 6개월~1년이상,,https://www.jobkorea.co.kr/Recruit/GI_Read/44654351?rPageCode=SL&logpath=21&sn=6,,디자인 직무채용관IT 개발자 전문 채용관 브랜드마케터 라이센싱 브랜딩 시장분석 언론홍보 기업홍보 이벤트기획 퍼포먼스마케터 카페·블로그관리 키워드광고 SNS마케팅 온라인마케터 바이럴마케팅 프로모션 디지털마케팅 배너광고,시작일 2024.05.10(금) 마감일 2024.05.24(금)
강남구,㈜DYB최선어학원,[직영] 24년 신학기 각 부문 STAFF 모집,신입·경력,"JAVA, MySQL, Oracle, PHP, Python, Illustrator, Photoshop, 파이널컷, 프리미어, 영어",https://www.jobkorea.co.kr/Recruit/GI_Read/44627403?rPageCode=SL&logpath=21&sn=6,,일학습병행 채용관IT 개발자 전문 채용관디자인 직무채용관교육 직무채용관 웹기획 서비스기획 앱기획 콘텐츠기획 마케팅기획 데이터분석 브랜드기획 전략기획 인사담당자 인사기획 인사교육 HRD·HRM 교육기획 면접·채용,시작일 2024.05.08(수) 마감일 2024.06.07(금)
강남구,㈜헥토이노베이션,"헥토이노베이션 직군별 인재 모집 (인사,총무,재무,시스템운영,정보보안, 글로벌구독)",경력,"Android, API, iOS, JAVA, Javascript, Python, SQL, Linux, Illustrator, Photoshop",https://www.jobkorea.co.kr/Recruit/GI_Read/44554935?rPageCode=SL&logpath=21&sn=6,,산업기능요원 전문채용관재무·회계 직무채용관IT 개발자 전문 채용관 경영·비즈니스기획 경영기획 사업기획 재무기획 데이터분석 브랜드기획 신사업기획 전략기획 웹기획 서비스기획 스토리보드 제안·컨설팅 앱기획 콘텐츠기획,시작일 2024.05.01(수) 마감일 2024.05.31(금)
강서구,㈜사이냅소프트,[2024년 신입·경력 공개채용] 각 부문별 채용,신입·경력,"AWS, JAVA, MySQL, Node.js, Python, React, Spring, TypeScript, Figma, C/C++",https://www.jobkorea.co.kr/Recruit/GI_Read/44556572?rPageCode=SL&logpath=21&sn=6,,우수벤처기업 공동채용관잡아바 추천 TOP 기업 온라인 채용관산업기능요원 전문채용관강소기업 채용관서울형 강소기업 온라인 채용관참 괜찮은 중소기업 선정 기업IT 개발자 전문 채용관재무·회계 직무채용관디자인 직무채용관 웹기획 서비스기획 콘텐츠기획,시작일 2024.04.29(월) 마감일 2024.05.31(금)
송파구,(주)우아한형제들,각 부문별 경력/신입 인재영입,신입·경력,"ASP, API, ASP.NET, CSS, HTML, JAVA, Javascript, JSP, MSSQL, MySQL, Oracle, PHP, Spring, Spring Boot, SQL, WAS, Window, Linux, Illustrator",https://www.jobkorea.co.kr/Recruit/GI_Read/34208668?rPageCode=SL&logpath=21&sn=6,,가족친화인증기업 채용관IT 개발자 전문 채용관 경영·비즈니스기획 사업기획 전략기획 웹기획 서비스기획 제안·컨설팅 앱기획 마케팅기획 데이터분석 PL·PM·PO PM PL PO 총무 행정 인사담당자 인사행정 HRD·HRM,
강남구,파이온코퍼레이션,브이캣 딥러닝 엔지니어,경력 (2년이상),"Python, NeRF",https://www.jobkorea.co.kr/Recruit/GI_Read/44719709?rPageCode=SL&logpath=21&sn=6,,잡아바 추천 TOP 기업 온라인 채용관IT 개발자 전문 채용관 머신러닝엔지니어 모델링 딥러닝 네트워크·통신서비스 서울 > 강남구,시작일 2024.05.20(월) 마감일 2024.06.16(일)
강남구,딥브레인 AI,머신러닝/딥러닝 엔지니어(전문연구요원 가능),경력,"OpenCV, FFmpeg",https://www.jobkorea.co.kr/Recruit/GI_Read/44631012?rPageCode=SL&logpath=21&sn=6,,스타트업 전문채용관잡아바 추천 TOP 기업 온라인 채용관IT 개발자 전문 채용관 머신러닝엔지니어 딥러닝 모델링 솔루션·SI·CRM·ERP 솔루션 소프트웨어개발 서울 > 강남구,시작일 2024.05.08(수) 마감일 2024.06.07(금)
금천구,㈜인터엑스,[서울] AI Researcher (LLM),경력 (2년이상),"Git, Pandas, Python, Pytorch, SQL, Matplotlib, Numpy, Scikit-Learn",https://www.jobkorea.co.kr/Recruit/GI_Read/44622369?rPageCode=SL&logpath=21&sn=6,,인재육성형 우수기업 채용관IT 개발자 전문 채용관 머신러닝엔지니어 모델링 음성인식 인공지능 챗봇 솔루션·SI·CRM·ERP 솔루션 소프트웨어개발 BigData 서울 > 금천구,시작일 2024.05.07(화) 마감일 2024.06.06(목)
금천구,㈜인터엑스,[서울-병역] AI Researcher LLM,경력 (2년이상),"Git, Pandas, Python, Pytorch, SQL, Matplotlib, Numpy, Scikit-Learn",https://www.jobkorea.co.kr/Recruit/GI_Read/44622338?rPageCode=SL&logpath=21&sn=6,,인재육성형 우수기업 채용관IT 개발자 전문 채용관 머신러닝엔지니어 모델링 음성인식 인공지능 챗봇 솔루션·SI·CRM·ERP 솔루션 소프트웨어개발 BigData 서울 > 금천구,시작일 2024.05.07(화) 마감일 2024.06.06(목)
금천구,비솔,영상분야 AI개발 (가산 근무),경력 (5년이상),"AWS, Pytorch, Tensorflow",https://www.jobkorea.co.kr/Recruit/GI_Read/44568531?rPageCode=SL&logpath=21&sn=6,,잡아바 추천 TOP 기업 온라인 채용관강소기업 채용관참 괜찮은 중소기업 선정 기업IT 개발자 전문 채용관 머신러닝엔지니어 딥러닝 인공지능 모델링 이미지프로세싱 컴퓨터·하드웨어·장비 유지보수 펌웨어 하드웨어 전기·전자·제어 전기 전기설계,시작일 2024.05.01(수) 마감일 2024.05.26(일)
강남구,블루닷㈜,코덱 SW 엔지니어,경력 (6년이상),"C, C++",https://www.jobkorea.co.kr/Recruit/GI_Read/44549161?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 반도체·디스플레이·광학 SoC ASIC IC설계 서울 > 강남구,시작일 2024.04.25(목) 마감일 2024.05.24(금)
강남구,블루닷㈜,딥러닝 개발자,경력 (6년이상),,https://www.jobkorea.co.kr/Recruit/GI_Read/44549142?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 반도체·디스플레이·광학 SoC ASIC IC설계 서울 > 강남구,시작일 2024.04.25(목) 마감일 2024.05.24(금)
