Word,Score
관리,353.1956846169643
기획,226.9393102570049
서비스,198.82259455126737
사업,194.03582239754772
운영,181.85700504881225
분석,178.50762238459268
수립,156.94525816078024
전략,146.01599536568736
고객,140.82496154571078
작성,126.41743499940833
제품,122.50772108760579
데이터,122.48531085506214
개발,121.10605277288725
프로젝트,120.22047524406912
관련,110.38295750917172
개선,109.1646193015542
수행,93.3448108648848
시장,88.19458515921359
설계,82.0395783449034
실행,80.80353895698451
신규,80.70438874996685
진행,78.65460953769335
담당,77.71346433265174
발굴,76.04615538619632
통해,75.10852970947438
비즈니스,74.35353543885871
협업,71.58567223210838
도출,69.6658124616842
목표,68.82016378811356
파트너,67.67071344540803
