Word,Score
커피,248.30889352288594
스낵바,247.91361138063513
자기계발,206.567111329751
상위,200.63146572315864
건강검진,197.259010306192
휴가,193.61817048981752
보너스,174.93010498583678
업계,169.97040485462767
평균,169.97040485462767
유연,166.94044619035296
산업,165.53235822132643
선도,161.73328364700595
근무,160.1424527563893
유망,153.9453571034615
기업,150.01877726717052
편의,123.45488239563802
인원,118.54230695042799
재택근무,115.16443763714815
시설,113.5330464962896
식대,105.73333937023102
누적,97.24155157963075
투자,97.24155157963075
동호회,80.16995470626938
위인,77.96711676964422
성장,72.09961931436841
워크샵,72.08965139377484
포인트,69.57691876073078
대지,67.91562881257612
요원,67.36281895557617
유급,63.14023397696143
