Word,Score
휴가,282.29074465430864
근무,206.1579758977847
만원,165.88874154964574
제도,165.2201259683036
연차,164.4715329986066
운영,163.52961075681895
사용,162.35809541766224
선물,158.94069573831484
생일,150.62362573100205
사내,133.5349375847484
도서,131.69141185153006
간식,130.93413104785398
성장,129.22844426951235
자율,128.6150286952639
문화,128.48624253464277
교육,127.38795563181849
직원,126.01575660457219
명절,125.13348982942045
건강검진,124.91224576005962
환경,121.92189891070578
장비,120.33695092559202
채용,119.96491723459597
출근,116.14253501632015
식대,113.03973970805181
야근,112.6567566980989
무제한,111.89529604596949
근속,105.66359850340521
개인,104.24517926513481
서류,96.63007727409399
위해,96.60762601829735
